0,1,2,4,9,8,3,6,7,12,22,5,10,19,16,21,11,20,13,29,25,35,15,17,31,27,14,32,23,33,48,52,38,18,34,30,39,46,47,37,50,40,24,26,41,64,68,45,63,73,42,57,44,89,71,28,58,56,88,65,97,51,99,72,36,43,49,92,82,80,78,53,77,59,55,60,84,61,86,76,91,90,62,95,94,85,70,67,54,66,69,81,75,79,74,98,83,96,87,93
0,7,8,5,1,2,4,3,9,20,23,21,24,14,12,17,10,19,69,6,22,29,28,13,52,18,15,36,11,16,26,62,32,98,53,31,58,34,27,45,38,54,40,71,39,59,37,50,49,48,47,85,33,65,55,46,67,51,25,30,89,79,95,72,97,35,80,64,68,75,61,60,74,70,66,87,78,81,92,88,96,43,76,99,91,90,56,42,41,73,44,63,84,86,93,57,82,77,94,83
0,1,7,4,12,2,9,8,3,5,6,10,13,11,14,15,19,17,16,23,18,20,24,22,25,27,21,26,32,30,28,35,29,34,33,31,36,38,37,41,39,40,45,46,42,44,49,47,43,55,48,52,54,50,53,51,56,61,60,59,64,62,58,69,57,65,63,70,76,68,66,67,78,72,73,71,82,75,85,79,90,86,81,77,89,84,92,83,74,91,80,94,88,87,95,97,98,99,93,96
0,14,38,5,4,3,1,23,7,18,8,35,2,13,15,61,16,9,12,30,66,36,17,10,25,56,22,34,26,29,55,49,96,20,88,28,11,21,74,6,71,19,57,32,31,73,42,27,24,78,33,64,83,52,81,69,62,85,40,47,65,76,53,37,70,48,50,44,59,82,90,43,46,91,54,67,79,89,77,95,72,58,41,99,39,80,45,51,98,68,75,97,92,84,93,63,87,94,60,86
0,1,2,3,5,4,6,7,20,8,31,15,13,9,90,26,18,12,42,47,24,14,55,17,23,64,57,39,10,29,22,27,30,11,19,34,49,88,35,21,48,72,51,83,44,73,69,68,70,43,75,63,62,65,67,16,37,25,38,52,40,32,58,36,45,41,28,79,54,61,33,81,93,53,99,78,59,76,87,74,56,89,46,66,91,60,50,94,85,92,84,97,77,95,86,82,71,96,80,98
0,1,2,4,6,3,5,12,7,8,18,46,9,34,23,30,14,67,27,20,10,15,48,38,16,84,11,51,40,13,63,47,96,74,71,32,66,29,85,73,45,43,44,41,25,31,17,76,21,22,78,89,70,69,91,42,77,92,64,99,28,65,37,35,82,57,90,33,60,59,95,19,24,68,88,87,50,52,56,55,62,54,93,61,86,49,72,36,26,98,94,53,39,80,58,83,75,79,81,97
0,2,1,3,5,9,13,18,22,6,4,10,48,8,29,88,23,25,53,11,21,70,7,16,15,71,62,17,20,41,36,67,14,75,26,12,38,28,42,39,56,43,33,44,19,92,89,98,37,40,24,51,27,79,35,34,55,74,87,68,65,52,46,63,59,91,82,97,58,57,66,32,30,95,76,31,73,77,83,84,81,96,86,69,80,99,64,50,49,94,78,61,60,45,90,47,54,72,93,85
0,1,2,4,3,7,5,6,9,8,11,10,13,16,12,14,17,15,20,18,24,19,22,21,29,26,33,31,25,28,27,23,40,32,34,30,42,38,36,37,45,41,39,47,43,44,35,46,48,83,64,69,50,53,57,52,49,58,75,59,51,56,66,67,55,74,61,54,85,65,70,92,63,72,78,80,60,97,73,68,82,89,86,91,79,87,71,81,62,76,96,88,77,99,84,94,95,98,90,93
0,3,9,8,14,4,31,42,40,1,2,22,16,19,11,12,15,6,23,26,95,57,97,28,7,10,5,27,30,13,29,41,38,17,52,35,34,18,91,20,25,24,86,37,32,33,62,87,49,48,45,50,73,51,53,21,68,69,75,60,46,74,70,85,80,71,72,43,78,65,54,61,59,93,39,36,63,64,99,98,83,56,67,92,94,79,84,44,58,55,66,88,77,47,82,81,90,89,76,96
0,2,3,27,5,4,7,8,20,11,14,74,19,9,12,38,1,15,10,6,26,23,13,45,28,18,17,21,31,51,34,22,49,48,33,89,46,16,62,30,98,60,76,77,35,81,39,73,50,68,67,29,99,52,36,92,25,61,47,97,88,93,32,24,69,42,53,44,78,56,57,43,71,91,40,41,37,55,59,70,72,82,86,84,96,85,90,58,63,65,64,66,79,95,75,87,83,54,94,80
