1.217439,0.745585,4.446468,5.556291
1.790839,1.114238,3.873068,5.187638
2.128035,1.356512,3.535872,4.945364
2.410596,1.532561,3.253311,4.769316
2.629691,1.697572,3.034216,4.604305
2.816777,1.841611,2.847130,4.460265
2.974062,1.961369,2.689845,4.340508
3.116998,2.091611,2.546909,4.210265
3.246689,2.203642,2.417219,4.098234
3.346578,2.288631,2.317329,4.013245
3.443157,2.398455,2.220751,3.903422
3.533113,2.475717,2.130795,3.826159
3.619205,2.552428,2.044702,3.749448
3.694260,2.618653,1.969647,3.683223
3.757726,2.677152,1.906181,3.624724
3.805188,2.727373,1.858720,3.574503
3.857616,2.777594,1.806291,3.524283
3.910044,2.830022,1.753863,3.471854
3.954194,2.887417,1.709713,3.414459
4.004967,2.939294,1.658940,3.362583
4.050773,2.985651,1.613135,3.316225
4.086093,3.025386,1.577815,3.276490
4.120861,3.064018,1.543046,3.237859
4.153974,3.104857,1.509934,3.197020
4.184327,3.137969,1.479581,3.163907
4.217439,3.176049,1.446468,3.125828
4.241722,3.209161,1.422185,3.092715
4.275386,3.238962,1.388521,3.062914
4.310706,3.269868,1.353201,3.032009
4.330574,3.304636,1.333333,2.997241
4.351545,3.332230,1.312362,2.969647
4.374172,3.362583,1.289735,2.939294
4.394592,3.387969,1.269316,2.913907
4.416667,3.418322,1.247241,2.883554
4.435430,3.438190,1.228477,2.863687
4.455298,3.462472,1.208609,2.839404
4.477373,3.483996,1.186534,2.817881
4.496137,3.509934,1.167770,2.791943
4.515453,3.534768,1.148455,2.767108
4.538079,3.560155,1.125828,2.741722
4.556291,3.583333,1.107616,2.718543
4.575055,3.608720,1.088852,2.693157
4.588300,3.631898,1.075607,2.669978
4.601545,3.653422,1.062362,2.648455
4.623620,3.672185,1.040287,2.629691
4.631898,3.686534,1.032009,2.615342
4.646799,3.701435,1.017108,2.600442
4.662252,3.722406,1.001656,2.579470
4.676049,3.743377,0.987859,2.558499
4.683775,3.754415,0.980132,2.547461
4.694812,3.774834,0.969095,2.527042
4.704746,3.786424,0.959161,2.515453
4.717991,3.807947,0.945916,2.493929
4.726269,3.825607,0.937638,2.476269
4.734547,3.847130,0.929360,2.454746
4.748344,3.860375,0.915563,2.441501
4.757174,3.872517,0.906733,2.429360
4.766556,3.889625,0.897351,2.412252
4.779249,3.903974,0.884658,2.397903
4.788631,3.918322,0.875276,2.383554
4.800773,3.932119,0.863135,2.369757
4.812362,3.944812,0.851545,2.357064
4.820088,3.959713,0.843819,2.342163
4.832230,3.970199,0.831678,2.331678
4.842163,3.983444,0.821744,2.318433
4.855408,3.998896,0.808499,2.302980
4.864790,4.007174,0.799117,2.294702
4.874172,4.023731,0.789735,2.278146
4.882450,4.034768,0.781457,2.267108
4.890728,4.047461,0.773179,2.254415
4.896247,4.055188,0.767660,2.246689
4.904525,4.072296,0.759382,2.229581
4.913355,4.083333,0.750552,2.218543
4.923289,4.092715,0.740618,2.209161
4.930464,4.102649,0.733444,2.199227
4.939845,4.113135,0.724062,2.188742
4.944812,4.127483,0.719095,2.174393
4.948124,4.139073,0.715784,2.162804
4.958609,4.149558,0.705298,2.152318
4.964680,4.162804,0.699227,2.139073
4.969647,4.170530,0.694260,2.131347
4.975166,4.179360,0.688742,2.122517
4.977373,4.189845,0.686534,2.112031
4.983996,4.197572,0.679912,2.104305
4.990618,4.205850,0.673289,2.096026
4.996137,4.216336,0.667770,2.085541
5.003863,4.222958,0.660044,2.078918
5.009382,4.229581,0.654525,2.072296
5.018764,4.240618,0.645143,2.061258
5.027594,4.247792,0.636313,2.054084
5.035872,4.255519,0.628035,2.046358
5.042494,4.262693,0.621413,2.039183
5.048013,4.270419,0.615894,2.031457
5.053532,4.278146,0.610375,2.023731
5.058499,4.285872,0.605408,2.016004
5.062362,4.293046,0.601545,2.008830
5.066225,4.303532,0.597682,1.998344
5.071744,4.309051,0.592163,1.992826
5.077815,4.316777,0.586093,1.985099
5.081126,4.323400,0.582781,1.978477
